learning_rate,exec_time,training_loss
0.0001,20.24984,11.8972879298
0.0001,18.596571,3.53624657116
0.0001,18.680248999999996,0.738436788114
0.0001,18.71011899999999,0.217805425833
0.0001,18.679378,0.144956594778
0.0001,19.082046000000005,0.127242893522
0.0001,18.773198000000008,0.117323012475
0.0001,19.00612000000001,0.112926529946
0.0001,18.679406,0.109035133465
0.0001,18.583961000000016,0.106138322116
0.0001,19.23971499999999,0.102815239822
0.0001,18.77357599999999,0.0996367134489
0.0001,18.64895200000001,0.0977163372954
0.0001,18.794531000000006,0.0945571458231
0.0001,18.587625000000003,0.0913562780459
0.0001,19.062767000000008,0.0893942644001
0.0001,18.739945999999975,0.0883374600236
0.0001,18.875444000000016,0.0852465290563
0.0001,18.627538999999956,0.0841834184594
0.0001,18.709705000000042,0.0818752471267
0.0001,18.909187999999972,0.0801217354783
0.0001,18.783473999999956,0.0783449990423
0.0001,18.682831999999962,0.0776987304479
0.0001,19.198372999999947,0.0771083497671
0.0001,18.811464,0.0758138141082
0.0001,18.56568299999992,0.0741900620357
0.0001,18.765571000000023,0.0735398387685
0.0001,18.965641000000005,0.0716029261609
0.0001,18.865837000000056,0.0713357601869
0.0001,18.882731000000035,0.0697395810761
0.0001,19.174571000000014,0.0688432436179
0.0001,19.156825000000026,0.0684419328018
0.0001,19.05504499999995,0.0682632393014
0.0001,18.63492300000007,0.0680511615281
0.0001,18.86039500000004,0.0670393163396
0.0001,18.795347000000106,0.0654921032372
0.0001,18.892561,0.0648555915197
0.0001,19.189913000000047,0.064212533004
0.0001,19.004863999999998,0.0639976307131
0.0001,18.790558000000033,0.0631381403075
0.0001,19.011240999999927,0.0625595716521
0.0001,19.01322499999992,0.0638417925905
0.0001,18.678507999999965,0.0626340248851
0.0001,18.576884999999947,0.0619030812156
0.0001,18.561976000000186,0.0613511731416
0.0001,18.81538599999999,0.0599696018949
0.0001,18.814592000000175,0.0600464812909
0.0001,18.889591999999993,0.0606707795475
0.0001,18.875982000000022,0.0594604816803
0.0001,19.25319300000001,0.0593089012809
0.0001,19.089120999999977,0.0587712465866
